DataHora (GMT),DirVento (oNV ),Precipitacao (mm ),PressaoAtm (mB ),RadSolAcum (MJ/m2 ),TempAr (oC ),UmidRel (% ),VelVento (m/s )
DataHora (GMT),DirVento (oNV ),Precipitacao (mm ),PressaoAtm (mB ),RadSolAcum (MJ/m2 ),TempAr (oC ),UmidRel (% ),VelVento (m/s )
2017-10-03 03:00:00,66,0,991.1,0,25.1,70.4,6.1
2017-10-03 00:00:00,66,0,992.2,0,26.8,62.4,6.8
2017-10-02 21:00:00,99,0,988.8,1.42,32.4,40,5.6
2017-10-02 18:00:00,102,0,987.7,6.43,35.3,25.6,5.4
2017-10-02 15:00:00,108,0,990.7,7.33,32.9,30.4,6.1
2017-10-02 12:00:00,93,0,993.7,3.46,29.2,41.6,5.4
2017-10-02 09:00:00,69,0,992.3,0.08,22.8,67.2,4.2
2017-10-02 06:00:00,63,0,990.1,0,23.2,70.4,4.4
2017-10-02 03:00:00,63,0,990.6,0,24.3,68.8,5.3
2017-10-02 00:00:00,66,0,991,0,26.3,57.6,7
2017-10-01 21:00:00,93,0,987.7,1.48,33.5,20.8,4.9
2017-10-01 18:00:00,99,0,987.1,6.58,36.4,17.6,4.6
2017-10-01 15:00:00,105,0,989.8,7.58,34.2,27.2,4.5
2017-10-01 12:00:00,96,0,993.5,3.89,29.3,43.2,4
2017-10-01 09:00:00,69,0,992.5,0.08,22.5,72,2.5
2017-10-01 06:00:00,66,0,991,0,22.6,75.2,4
2017-10-01 03:00:00,66,0,991.5,0,24.4,68.8,5.7
2017-10-01 00:00:00,57,0,991.8,0,26.5,52.8,5.7
2017-09-30 21:00:00,96,0,989.6,1.4,32.3,24,3.4
2017-09-30 18:00:00,111,0,988.9,6.48,34.9,20.8,4
2017-09-30 15:00:00,114,0,991.9,7.6,32.9,27.2,5
2017-09-30 12:00:00,108,0,994.6,3.47,29.2,36.8,4.8
2017-09-30 09:00:00,72,0,993.2,0.08,22.4,68.8,3.6
2017-09-30 06:00:00,69,0,992.1,0,23.4,65.6,5.2
2017-09-30 03:00:00,66,0,992.9,0,25.2,67.2,6.1
2017-09-30 00:00:00,78,0,993.4,0,27.3,56,5.9
2017-09-29 21:00:00,69,0,993.1,0,24.2,78.4,3.3
2017-09-29 18:00:00,63,0,993.6,0,25.3,75.2,5.5
2017-09-29 15:00:00,93,0,993.5,0,27.5,59.2,5.7
2017-09-29 12:00:00,108,0,990.9,1.21,33.3,28.8,6.5
2017-09-29 09:00:00,75,0,994.6,0.07,23.9,68.8,3.4
2017-09-29 06:00:00,72,0,993.5,0,24.2,75.2,4.6
2017-09-29 03:00:00,69,0,994.2,0,25.2,70.4,6
2017-09-29 00:00:00,66,0,994.3,0,26.8,59.2,6.9
2017-09-28 21:00:00,81,0,992,0.82,32.8,32,4.7
2017-09-28 18:00:00,114,0,991.4,5.2,34.3,27.2,4.6
2017-09-28 15:00:00,147,0,996.2,3.1,31,41.6,2.6
2017-09-28 12:00:00,147,0,996.2,3.1,31,41.6,2.6
2017-09-28 09:00:00,72,0,994.8,0.07,23.9,78.4,2.1
2017-09-28 06:00:00,69,0,993.1,0,24.2,78.4,3.3
2017-09-28 03:00:00,63,0,993.6,0,25.3,75.2,5.5
2017-09-28 00:00:00,93,0,993.5,0,27.5,59.2,5.7
2017-09-27 21:00:00,108,0,990.9,1.21,33.3,28.8,6.5
2017-09-27 18:00:00,111,0,989.7,4.75,34.7,27.2,5.2
2017-09-27 15:00:00,132,0,992.5,6.8,33,32,3.8
2017-09-27 12:00:00,132,0,995.4,3.66,30.7,40,2.3
2017-09-27 09:00:00,75,0,994.2,0.08,24,65.6,2.5
2017-09-27 06:00:00,72,0,992.4,0,23.7,72,4.1
2017-09-27 03:00:00,60,0,992.6,0,24.7,73.6,5.6
2017-09-27 00:00:00,78,0,992.8,0,26.9,59.2,5
2017-09-26 21:00:00,123,0,990.1,1.54,33.3,24,3.5
2017-09-26 18:00:00,147,0,990.4,6.66,36,20.8,3.2
2017-09-26 15:00:00,144,0,993.3,7.68,33.6,27.2,3.9
2017-09-26 12:00:00,126,0,996.2,3.83,29.7,35.2,3.5
2017-09-26 09:00:00,75,0,994.7,0.08,23.2,67.2,3.4
2017-09-26 06:00:00,66,0,992.8,0,23.2,75.2,2.9
2017-09-26 03:00:00,60,0,993.1,0,24.1,73.6,5.3
2017-09-26 00:00:00,93,0,993,0,26.5,62.4,3.1
2017-09-25 21:00:00,162,0,991.1,0.97,32.1,28.8,1.9
