TestSMA45,PredSMA45
8.884444125286723,8.696244
8.882222149856881,8.737497
8.831111088291802,8.753578
8.686666367983804,8.772408
8.597777222768439,8.7712145
8.477777608195932,8.755764
8.457778141323743,8.726139
8.377778023163488,8.675655
8.393333539175996,8.623671
8.464444067613266,8.573003
8.451111089698472,8.544122
8.42666598396298,8.510819
8.517777667276059,8.462779
8.611110763351107,8.456851
8.555555188258472,8.467541
8.471111119238536,8.463435
8.30888947015606,8.44319
8.215555248745268,8.417741
8.193333806443237,8.358283
8.19999973273276,8.305525
8.275555337365459,8.2588625
8.50000017583371,8.214778
8.584444244853646,8.227306
8.524444718901329,8.2527485
8.57777775589625,8.273392
8.637778407184312,8.311822
8.72444445163409,8.387848
8.693333419609074,8.453618
8.648888847001391,8.502591
8.7333334786892,8.539297
8.837778139917072,8.58086
8.779999464058852,8.638013
8.60444427439371,8.681895
8.495555662306154,8.693252
8.297777905003235,8.678869
8.12666722886565,8.649361
8.05333303699492,8.570671
7.908888879354794,8.485182
7.895555338772128,8.373654
7.8622223313172706,8.245218
7.71333366014959,8.139521
7.49999982416629,7.9940276
7.264444545880958,7.8024874
7.291111064378418,7.6004925
7.244444516340895,7.4554358
7.244444516340895,7.3101935
7.173333425235753,7.1711597
7.1622224227508005,7.0727777
7.164444398180642,6.978088
7.1999999437332125,6.908647
7.237777464715625,6.8624086
7.202222481830927,6.827726
7.1444443686405785,6.817041
7.039999707412706,6.798165
7.035555193885151,6.781395
6.957778176490485,6.766126
6.904444576827691,6.763784
6.853333515262612,6.755777
6.848889001735056,6.7489405
6.928888557227437,6.736898
6.9200000928402,6.7345347
6.964444665447881,6.751759
6.944444635907818,6.763134
6.893333574342739,6.788449
6.726666849064835,6.7989683
6.66888929854236,6.7995334
6.520000064706806,6.79657
6.4533334871292185,6.7753463
6.464444489614171,6.7477474
6.284444223753601,6.724632
6.160000095653539,6.6992874
6.037777942983317,6.6609316
5.995555345805476,6.632492
6.0666664369106185,6.59865
5.906666763257985,6.5791917
5.880000244760525,6.5544887
5.984444343320524,6.5345697
6.175555611666046,6.5295887
6.34222233694395,6.5284204
6.391111423079187,6.540888
6.399999887466425,6.5535345
6.313333280348775,6.5703745
6.34222233694395,6.587612
6.22222215970357,6.601384
6.091110979978238,6.6166663
6.184444638721157,6.617861
6.344444312373791,6.627325
6.562222661884646,6.64614
6.537778118817028,6.665434
6.615555698879566,6.684168
6.639999679279312,6.7112036
6.68888876541455,6.745673
6.717777822009724,6.773136
6.822222483237597,6.8136873
6.824444458667438,6.855035
6.80888894265493,6.886277
6.826666996765152,6.9174027
6.95555563839277,6.9342413
7.053333247995373,6.97155
7.053333247995373,7.0067415
7.14666634407042,7.04388
7.184444427720705,7.078471
7.211110946218165,7.1119304
7.108888823088007,7.1422133
7.097777820603055,7.1731753
7.184444427720705,7.1977797
7.304444042293212,7.2145224
7.406666728091243,7.243152
7.371111182538671,7.270926
7.513333364748957,7.299134
7.584444455854099,7.334782
7.684444603554415,7.389319
7.677777551929146,7.444942
7.728889176162097,7.5071845
7.937777935949969,7.566744
8.044445135275556,7.6422677
8.162221649082475,7.7264214
8.222222300370538,7.805978
8.182222241290411,7.91704
8.359999406385395,7.9898787
8.37333294696806,8.100816
8.311111445585903,8.197176
8.23111132742565,8.250049
8.19999973273276,8.2987585
8.306666369390474,8.334694
8.391111563746156,8.381687
8.508889202888822,8.422281
8.54222221034368,8.467983
8.65333392319682,8.522796
8.793333004641518,8.571775
8.773333537769327,8.640361
8.722222476204248,8.69601
8.668888876541455,8.733382
8.693333419609074,8.773741
8.637778407184312,8.80141
8.58666678295136,8.801212
8.475555632766092,8.7919855
8.515555129178345,8.7777405
8.482222684391362,8.752118
8.55333321282863,8.727013
8.566666753411297,8.70489
8.515555129178345,8.687477
8.439999524545648,8.673887
8.402222566231108,8.631126
8.32666696159841,8.599923
8.331110912458092,8.542228
8.315555396445586,8.504037
8.328888937028252,8.460913
8.444444600741075,8.414154
8.475555632766092,8.382866
8.53333374595644,8.370804
8.482222684391362,8.382896
8.488888610680885,8.39219
8.54222221034368,8.393288
8.568888728841138,8.412939
8.455556165893901,8.432135
8.404444541660949,8.4252405
8.306666369390474,8.422431
8.271111386505776,8.386982
8.239999791812886,8.358147
8.22666625123022,8.330763
8.186666754817967,8.301043
8.140000206780444,8.2590065
8.119999614572507,8.209702
8.077778142730413,8.164489
7.995555486472444,8.131934
7.957777402822159,8.071044
7.875555309232064,8.016507
7.964443891779556,7.9507265
7.96666642987727,7.8857408
7.94666696300508,7.8520474
7.975555456932381,7.807793
8.042222034509969,7.7820263
7.993333511042604,7.786153
7.866666844844826,7.7690334
7.895555338772128,7.737659
7.962221916349715,7.7251606
7.968888967974984,7.7328424
7.779999675059304,7.7134795
