,TestEMA01,TestEMA03,TestEMA05,TestEMA07,PredEMA01,PredEMA03,PredEMA05,PredEMA07,TestEMA005,PredEMA005
21,6.890000353974847,6.6000001518949984,7.000000123269866,7.510000569887478,8.164496,6.7379694,6.4070287,6.479794,6.989999939770992,7.6269355
22,7.039999950186909,7.139999980813263,7.700000057525938,8.130000264175244,8.165795,6.710153,6.4762616,7.0129914,7.060000026768448,7.6212234
23,6.679999832446875,6.019999814528213,5.550000024653973,4.820000417031362,8.166064,6.9298835,6.9581075,7.483858,6.88000065285271,7.6177163
24,6.79000042190179,6.550000155892235,6.680000096972295,6.909999772377304,8.165535,6.762688,6.8337693,6.8805637,6.92000044762794,7.6143517
25,6.590000557755675,6.029999941640343,5.739999978633223,5.429999998338521,8.166082,6.6430564,6.876285,7.3365607,6.820000663262662,7.615022
26,6.710000597002354,6.560000283004364,6.770000248183331,7.090000476844624,8.167585,6.702205,6.9261446,7.404335,6.869999960590896,7.617503
27,6.850000139627605,7.019999734583477,7.430000261332115,7.800000523366051,8.167506,6.8857064,7.339835,7.5909243,6.929999950180943,7.623933
28,6.90999985735342,7.1299998537011335,7.419999952335652,7.520000018276275,8.169784,6.9897738,7.494571,7.877474,6.950000144995761,7.6350675
29,7.080000164534151,7.570000330171759,8.010000432266331,8.27999996510893,8.170946,7.190407,7.568796,7.948642,7.030000329400627,7.6430593
30,6.8400006898358425,6.710000271012654,6.349999761678259,5.770000184424228,8.172689,7.4609056,7.783218,8.170078,6.92000044762794,7.65265
31,6.170000118494778,4.760000426904889,3.2800002284601524,1.869999985046684,8.174162,7.3037415,7.5298867,7.6969566,6.580000110048065,7.6561236
32,6.070000186421721,4.860000099131472,4.190000077249116,4.130000264175245,8.169679,6.813268,6.8349366,6.284662,6.510000617905013,7.653354
33,6.460000464922187,6.400000167883945,7.090000274480903,8.24000017777831,8.165401,6.4580674,6.4944468,6.0632772,6.679999894413343,7.6465573
34,6.570000450582055,6.760000267015418,7.349999761678259,7.790000410385443,8.163592,6.4045634,6.8456416,7.1676803,6.730000381450387,7.6459713
35,6.8400006898358425,7.489999952832606,8.270000576902975,8.779999632813025,8.163293,6.583968,7.1123075,7.478341,6.850000360630483,7.6463585
36,7.139999882259966,8.22000027820768,9.090000274480902,9.560000470198707,8.1643095,6.789123,7.317364,8.085118,7.0000000371784,7.64566
37,7.420000175100564,8.720000238235313,9.490000142993043,9.800000523366052,8.167411,7.1400065,7.773601,8.31066,7.150000308580723,7.6462207
38,7.450000335860995,8.410000135106603,8.600000254757724,8.329999865420158,8.1682,7.597301,8.123414,8.368414,7.1800000059485445,7.6500173
39,7.120000378881393,7.150000107925393,6.399999991782009,5.4400001113191285,8.168899,7.8135,8.041963,8.382402,7.030000329400627,7.6534514
40,7.269999975093454,7.589999944838132,7.50000045198951,7.650000157840555,8.169931,7.8401303,7.768911,8.051384,7.110000513805493,7.655882
41,7.580000428694484,8.430000389330864,8.949999893166115,9.580000031568112,8.16942,7.9747367,7.9965405,8.024156,7.270000287760818,7.6599336
42,7.840000614361461,8.960000091137,9.569999985207616,10.010000237591573,8.1710615,8.103394,8.045272,8.344795,7.420000559163141,7.662788
43,8.10000080002844,9.390000440495497,9.989999814273402,10.27999996510893,8.172434,8.234172,8.14914,8.659595,7.570000235711058,7.6647997
44,8.310000717761364,9.63000029339718,10.090000274480902,10.229999400205893,8.176956,8.40437,8.314392,8.784558,7.700000312298563,7.6645813
45,7.980000156986713,8.239999892874055,7.550000024653973,6.570000583179314,8.181189,8.482744,8.39422,8.792397,7.560000138303649,7.6669307
46,7.440000282274185,6.550000155892235,5.07000031392726,3.790000078089538,8.18316,8.328947,8.286938,8.204104,7.320000179943458,7.670394
47,7.590000482281295,7.26000022704305,6.989999814273402,7.37000031734259,8.181787,8.043322,7.6989923,7.4368463,7.390000266940914,7.667255
48,7.880000224913656,8.229999765761924,8.739999978633223,9.560000470198707,8.185839,7.9147105,7.4848843,7.627798,7.550000635750646,7.66816
